DATE,sr_NBP,CPI,RB,WN,ZT,PP,PPI,IB,BR,SPD,EURPLN,USDPLN,CHFPLN,WIG20,WIG,WIBOR 3M
01/01/2001,19,7.399,-348,9.929451014,-2.538071066,10.7,4.7,6.6,15.7,-99,3.797,4.08,2.4696,1772.1,17602.9,18.87
01/02/2001,19,6.629,-434,7.725974768,-2.389014296,0,4.1,6.1,15.9,-99,3.7197,4.0375,2.4113,1490.33,15471.5,18.29
01/03/2001,17,6.214,-897,7.869099305,-2.599849284,3.3,3.8,5.8,16.1,-99,3.5945,4.0903,2.3485,1375.89,14698.9,17.37
01/04/2001,17,6.638,-781,5.238843875,-2.735332956,3.8,3.4,6,16,-99,3.5216,3.9618,2.2842,1441.03,15269,17.15
01/05/2001,17,6.943,-658,8.828234253,-2.966742252,-0.4,2.3,6.5,15.9,-99,3.3723,3.9824,2.2187,1467.89,15630.3,17.16
01/06/2001,15.5,6.225,-1150,4.8510522,-3.282465816,-4.7,0.9,6.4,15.9,-99,3.4059,4.0069,2.235,1271.22,13945.4,16.09
01/07/2001,15.5,5.179,-616,8.005207438,-3.544461897,1.5,0.6,5.8,16,-99,3.7302,4.2558,2.4643,1173.53,13126.7,15.49
01/08/2001,14.5,5.084,-148,6.885826138,-3.737431227,0.9,1,5.6,16.2,-99,3.8634,4.239,2.5486,1138.84,12802.1,15.18
01/09/2001,14.5,4.331,66,6.188736347,-3.984819734,-3.7,0.7,4.9,16.3,-99,3.8469,4.2283,2.6056,1022.62,11890.6,14.56
01/10/2001,13,4.001,-672,7.834180815,-4.366456212,1.8,-0.5,4.7,16.4,-99,3.6805,4.0908,2.5014,1236.38,13736.2,13.84
01/11/2001,11.5,3.605,-536,6.573167627,-4.326281685,-1,-1,4.5,16.8,-99,3.6422,4.0659,2.4752,1252.05,14036.1,12.45
01/12/2001,11.5,3.551,-520,5.275900805,-4.750913637,-4.8,-0.4,4.3,17.5,-99,3.5272,3.9623,2.3849,1208.34,13922.2,11.91
01/01/2002,10,3.415,-463,5.725152105,-4.706790123,-1.4,0,3.9,18.1,-99,3.5814,4.1732,2.4248,1445.23,16062.8,10.64
01/02/2002,10,3.467,-598,5.505299025,-4.972056273,0.2,0.2,4,18.2,-99,3.6708,4.2247,2.4895,1367.84,15278.6,10.22
01/03/2002,10,3.261,-863,4.795428848,-4.758220503,-3.1,0.3,3.7,18.2,-99,3.5879,4.1183,2.4466,1339.05,15026.4,10.34
01/04/2002,9.5,3.012,-731,2.339638252,-4.829325058,0.3,0.4,3.6,17.9,-99,3.5914,3.9918,2.4666,1321.33,15122.1,10.1
01/05/2002,9,1.868,-670,4.224290944,-4.654333009,-4.2,0.5,2.7,17.3,-99,3.7465,4.0177,2.5584,1369.37,15643,9.6
01/06/2002,8.5,1.559,-509,3.891660926,-4.354618239,2.1,1.2,2.6,17.4,-99,4.018,4.0537,2.7363,1216.35,14192.9,8.97
01/07/2002,8.5,1.295,-620,4.111894474,-4.198548166,5.7,1.7,2.4,17.5,-99,4.0791,4.1743,2.8081,1067.3,12907.6,8.69
01/08/2002,8,1.233,-48,2.750854083,-3.902246748,-1.1,1.3,2.3,17.5,-99,4.0538,4.1277,2.756,1124.03,13433.8,8.33
01/09/2002,7.5,1.299,-138,3.804649275,-3.873517787,6.6,1.1,2.4,17.6,-99,4.0944,4.1466,2.808,1044.89,12797.3,7.73
01/10/2002,7,1.1,-359,0.495080278,-3.44964314,3.2,1.7,1.9,17.5,-99,3.9907,4.0306,2.727,1179.39,14093.2,7.02
01/11/2002,6.75,0.9,-267,1.780269798,-3.147410359,3.1,1.7,1.7,17.8,-99,3.9906,4.0147,2.7056,1219,14662.9,6.76
01/12/2002,6.75,0.8,-667,2.356402909,-2.2819063,5.2,2.2,1.5,18,-99,4.0152,3.828,2.7707,1175.64,14366.7,6.87
01/01/2003,6.5,0.5,-420,2.685395107,-4.129554656,5.827253625,2.5,1.1,20.6,4.1,4.1095,3.821,2.802,1115.87,13844.8,6.47
01/02/2003,6.25,0.5,-643,2.119553797,-3.853173798,7.263546915,3.9,0.9,20.7,4.2,4.2184,3.9107,2.8915,1099.69,13775.5,6.27
01/03/2003,6,0.6,-747,0.682890875,-3.980503656,8.797108075,3.6,0.9,20.6,-1.7,4.4732,4.1005,3.0289,1093.5,13759.4,5.98
01/04/2003,5.75,0.3,-402,4.232298053,-3.688608111,10.98698857,2.7,0.7,20.3,11,4.2559,3.8115,2.8102,1111.45,14259.8,5.69
01/05/2003,5.5,0.4,-528,-0.019070174,-3.533496732,13.36954402,2,0.7,19.8,9.7,4.3745,3.7144,2.8562,1192.46,15304.4,5.4
01/06/2003,5.25,0.8,-345,3.089088506,-3.593303389,9.576642638,2,0.6,19.7,8.1,4.4809,3.8988,2.8818,1252.03,15987.5,5.32
01/07/2003,5.25,0.8,-415,2.350910918,-3.2,12.00642699,1.9,0.5,19.6,5.4,4.3443,3.8664,2.8113,1387.1,18004.3,5.24
01/08/2003,5.25,0.7,-253,1.88039348,-3.240360952,7.392342382,1.8,0.5,19.5,5.5,4.3602,3.97,2.8348,1637.53,21336.3,5.14
01/09/2003,5.25,0.9,-123,2.223795788,-3.145559211,12.65536407,2.1,0.5,19.4,9.7,4.6039,3.9468,2.9948,1477.25,19330.5,5.24
01/10/2003,5.25,1.3,32,2.994287128,-3.18275154,14.69683048,2.7,0.8,19.3,10.3,4.6771,4.025,3.0138,1582.01,20663.7,5.86
01/11/2003,5.25,1.6,-225,4.102498453,-3.311394488,12.86082706,3.7,0.9,19.5,11.4,4.6758,3.902,3.0184,1448.88,19231.5,5.83
01/12/2003,5.25,1.7,-797,5.125552339,-3.471791692,17.2361563,3.7,1,20,17.3,4.7368,3.7253,3.0378,1574.04,20820.1,5.6
01/01/2004,5.25,1.6,-664,3.525913528,-1.414695946,18.43641598,4.1,0.8,20.6,7.6,4.7989,3.8589,3.0633,1631.99,21947.2,5.46
01/02/2004,5.25,1.572,-781,6.34432844,-1.476481755,22.44046444,4.2,0.7,20.6,12.1,4.8888,3.9283,3.0977,1730.1,23317.9,5.5
01/03/2004,5.25,1.665,-1382,7.04322248,-1.290186125,28.68159956,4.9,0.7,20.4,20.7,4.7533,3.8645,3.0513,1762.37,23870.1,5.49
01/04/2004,5.25,2.234,-1772,4.585293966,-1.079136691,30.00201067,7.6,0.8,19.9,30.6,4.8104,4.015,3.0955,1757,24304.4,5.85
01/05/2004,5.25,3.373,-878,4.398509581,-0.889265297,22.19464947,9.6,1.7,19.5,4,4.6478,3.8159,3.0415,1690.71,23607.7,6
01/06/2004,5.25,4.405,-774,4.520208605,-0.720033884,25.48654763,9.1,1.9,19.4,8.6,4.4973,3.6945,2.9497,1726.83,23949.3,6.05
01/07/2004,6,4.612,-1235,3.645777753,-0.720033884,15.10790238,8.6,2.2,19.3,10.9,4.375,3.633,2.8432,1675.06,23632.3,6.41
01/08/2004,6.5,4.615,-587,5.123132963,-0.784230606,23.29541846,8.5,2.2,19.1,9.6,4.4463,3.6526,2.8856,1725.18,24239.2,7
