Date,Close/Last,Volume,Open,High,Low
05/30/2025,$647.49,16240950,$642.50,$649.4099,$632.78
05/29/2025,$645.05,8883436,$651.645,$653.32,$639.50
05/28/2025,$643.58,9042874,$642.60,$650.88,$642.5472
05/27/2025,$642.32,9508367,$635.41,$643.08,$632.75
05/23/2025,$627.06,8454067,$624.00,$632.445,$622.65
05/22/2025,$636.57,8228443,$634.05,$643.25,$630.71
05/21/2025,$635.50,11464570,$631.79,$646.61,$630.17
05/20/2025,$637.10,6743473,$636.01,$639.3536,$632.26
05/19/2025,$640.43,9592374,$628.25,$643.00,$627.80
05/16/2025,$640.34,18518970,$637.955,$640.44,$626.15
05/15/2025,$643.88,14341840,$654.275,$657.31,$638.58
05/14/2025,$659.36,12348180,$661.21,$662.67,$654.31
05/13/2025,$656.03,18570820,$645.545,$660.92,$642.83
05/12/2025,$639.43,21965090,$630.92,$640.3896,$621.03
05/09/2025,$592.49,10427290,$603.72,$606.97,$591.7062
05/08/2025,$598.01,14622810,$606.285,$611.2959,$596.62
05/07/2025,$596.81,13160980,$590.36,$603.075,$586.67
05/06/2025,$587.31,10600650,$592.525,$596.03,$586.58
05/05/2025,$599.27,13887720,$591.22,$603.21,$588.05
05/02/2025,$597.02,24739260,$583.455,$604.34,$578.33
05/01/2025,$572.21,31159030,$592.075,$592.95,$570.50
04/30/2025,$549.00,29243970,$538.40,$549.10,$529.50
